Sobota,01,Sierpieñ,2026,23:56:09:00009-VCID:5EB32B7FDA379C7640-4B18,Wersja VCDS: AKP 20.4.2,Wersja danych: 20201103 DS317.0
074 906 018 AJ,,2.5l R5 EDC G000SG  3908,

,Grupa A:,'002,,,,Grupa B:,'004,,,,Grupa C:,'008
,,Obroty silnika,Obci¹¿enie,Bity binarnie,Temperatura,,Obroty silnika,K¹t w.zap³onu,K¹t w.zap³onu,Cykl pracy,,Obroty silnika,Dawka paliwa,Dawka paliwa,Dawka paliwa
,CZAS,,,,,CZAS,,,,,CZAS,,,,
Znacznik,ZAPISU, /min, %,,*C,ZAPISU, /min, *PGMP, *PGMP, %,ZAPISU, /min, mg/suw, mg/suw, mg/suw
,0.64,2346,0.0, 0  1  1,95.4,0.01,2407,0.4,0.0,57.4,0.32,2387,0.0,50.4,36.6
,3.52,2060,4.7, 0  0  1,95.4,3.84,2020,0.4,0.0,54.2,4.16,1979,1.6,50.2,32.8
7,4.48,1958,17.6, 0  0  1,95.4,4.80,1938,0.4,0.2,49.8,5.12,1938,3.4,50.2,11.2
13,5.44,1918,16.9, 0  0  1,95.4,5.76,1877,0.4,0.4,55.8,6.08,1856,2.8,50.2,23.2
14,6.40,1856,22.0, 0  0  1,95.4,6.72,1856,0.7,0.0,47.8,7.04,1836,8.0,50.0,13.8
,13.12,1510,0.0, 0  1  1,94.5,13.44,1448,0.4,0.0,51.0,13.76,1550,51.0,45.6,30.0
,14.08,1489,100.0, 0  0  1,94.5,14.40,1550,11.4,11.0,77.7,14.72,1612,51.0,46.0,44.4
,15.04,1652,100.0, 0  0  1,94.5,15.36,1754,9.9,10.6,71.7,15.68,1836,51.0,50.0,51.0
,16.00,1938,100.0, 0  0  1,94.5,16.32,2020,7.9,8.1,68.9,16.64,2122,51.0,50.4,51.0
,16.96,2203,100.0, 0  0  1,94.5,17.28,2285,8.1,7.9,72.9,17.60,2387,51.0,50.4,51.0
,17.92,2489,100.0, 0  0  1,94.5,18.24,2570,9.2,9.2,77.3,18.56,2672,51.0,50.4,51.0
,18.88,2754,100.0, 0  0  1,94.5,19.20,2856,10.6,10.8,83.3,19.52,2938,51.0,50.4,51.0
,19.84,3019,100.0, 0  0  1,93.6,20.16,3121,12.1,12.8,81.7,20.48,3203,51.0,50.6,51.0
,20.80,3284,100.0, 0  0  1,93.6,21.12,3366,13.9,13.6,84.9,21.46,3468,51.0,50.6,51.0
,21.78,3550,100.0, 0  0  1,93.6,22.10,3631,15.8,15.8,86.1,22.42,3713,51.0,50.6,51.0
,22.74,3794,100.0, 0  0  1,93.6,23.06,3876,17.4,17.4,89.6,23.38,3958,51.0,50.8,51.0
,23.70,4019,100.0, 0  0  1,93.6,24.02,4080,18.0,18.0,93.6,24.34,4162,51.0,48.2,51.0
,24.66,4243,100.0, 0  0  1,93.6,24.98,4304,18.0,17.8,94.4,25.30,4366,51.0,40.2,51.0
