Sobota,01,Sierpieñ,2026,23:53:16:00009-VCID:5EB32B7FDA379C7640-4B18,Wersja VCDS: AKP 20.4.2,Wersja danych: 20201103 DS317.0
074 906 018 AJ,,2.5l R5 EDC G000SG  3908,

,Grupa A:,'003,,,,Grupa B:,'005,,,,Grupa C:,'002
,,Obroty silnika,Iloœæ powietrza/Obr.,Iloœæ powietrza/Obr.,Cykl pracy,,Obroty silnika,Dawka paliwa,K¹t w.zap³onu,Temperatura,,Obroty silnika,Obci¹¿enie,Bity binarnie,Temperatura
,CZAS,,,,,CZAS,,,,,CZAS,,,,
Znacznik,ZAPISU, /min, mg/suw, mg/suw, %,ZAPISU, /min, mg/suw, *PGMP,*C,ZAPISU, /min, %,,*C
,0.60,2244,250.0,280.0,62.2,0.92,2224,14.2,1.3,91.8,0.28,2224,25.9, 0  0  1,91.8
1,1.56,2183,700.0,535.0,24.7,1.88,2183,14.2,0.0,91.8,1.24,2224,13.7, 0  0  1,91.8
,2.52,2142,700.0,545.0,24.7,2.86,2101,14.2,0.0,91.8,2.20,2162,0.0, 0  1  1,91.8
3,3.50,2081,700.0,545.0,24.7,3.82,2060,14.2,0.0,91.8,3.18,2081,0.0, 0  1  1,91.8
7,4.46,1999,700.0,545.0,24.7,4.78,1979,14.2,0.0,91.8,4.14,2020,3.5, 0  1  1,91.8
12,5.42,1938,700.0,535.0,24.7,5.74,1938,14.2,2.2,91.8,5.10,1958,8.6, 0  0  1,91.8
,6.38,1897,245.0,265.0,61.0,6.70,1897,14.2,-0.2,91.8,6.06,1918,17.3, 0  0  1,91.8
13,7.34,1918,380.0,320.0,51.0,7.66,1938,14.2,1.1,91.8,7.02,1897,25.1, 0  0  1,91.8
14,8.30,1979,455.0,430.0,43.0,8.62,1999,14.2,1.5,91.8,7.98,1938,31.4, 0  0  1,91.8
,9.24,2060,480.0,475.0,43.4,9.56,2081,14.2,2.2,91.8,8.92,2020,41.6, 0  0  1,91.8
,10.20,2142,475.0,485.0,45.8,10.52,2162,14.2,2.0,91.8,9.88,2101,42.7, 0  0  1,91.8
,106.21,1469,980.0,530.0,4.8,106.53,1510,14.2,12.5,93.6,106.85,1571,100.0, 0  0  1,93.6
,107.17,1612,980.0,685.0,4.8,107.50,1673,14.2,11.0,93.6,107.81,1754,100.0, 0  0  1,93.6
,108.13,1836,980.0,895.0,4.8,108.45,1938,14.2,9.0,93.6,108.77,2020,100.0, 0  0  1,93.6
,109.09,2101,980.0,980.0,4.8,109.41,2183,14.2,8.6,93.6,109.73,2264,100.0, 0  0  1,93.6
,110.05,2366,980.0,945.0,4.8,110.37,2448,14.2,8.6,93.6,110.69,2550,100.0, 0  0  1,93.6
,111.01,2632,980.0,970.0,4.8,111.33,2713,14.2,9.2,93.6,111.65,2795,100.0, 0  0  1,93.6
,111.98,2897,980.0,945.0,4.8,112.29,2978,14.2,11.2,93.6,112.61,3060,100.0, 0  0  1,93.6
,112.93,3142,980.0,980.0,4.8,113.25,3223,14.2,12.8,93.6,113.57,3305,100.0, 0  0  1,93.6
,113.91,3386,980.0,980.0,4.8,114.23,3488,14.2,15.0,93.6,114.55,3570,100.0, 0  0  1,93.6
,114.87,3631,980.0,975.0,4.8,115.19,3713,14.2,16.1,93.6,115.51,3794,100.0, 0  0  1,93.6
,115.83,3856,980.0,970.0,4.8,116.15,3937,14.2,17.4,93.6,116.47,3998,100.0, 0  0  1,93.6
,116.79,4080,980.0,940.0,4.8,117.11,4141,14.2,17.8,94.5,117.43,4223,100.0, 0  0  1,94.5
,117.75,4284,980.0,905.0,4.8,118.07,4345,14.2,18.7,93.6,118.39,4386,100.0, 0  0  1,94.5
