Sobota,01,Sierpieñ,2026,23:57:15:00009-VCID:5EB32B7FDA379C7640-4B18,Wersja VCDS: AKP 20.4.2,Wersja danych: 20201103 DS317.0
074 906 018 AJ,,2.5l R5 EDC G000SG  3908,

,Grupa A:,'011,,,,Grupa B:,'010,,,,Grupa C:,'009
,,Obroty silnika,Ciœnienie rzecz.,Ciœnienie rzecz.,Cykl pracy,,Iloœæ powietrza/Obr.,Ciœnienie rzecz.,Ciœnienie rzecz.,Obci¹¿enie,,Obroty silnika,Dawka paliwa,Dawka paliwa, 
,CZAS,,,,,CZAS,,,,,CZAS,,,,
Znacznik,ZAPISU, /min, mbar, mbar, %,ZAPISU, mg/suw, mbar, mbar, %,ZAPISU, /min, mg/suw, mg/suw,
,0.01,1612,1193.4,1091.4,32.7,0.32,265.0,989.4,1081.2,22.0,0.64,1591,0.0,51.0,  
6,0.96,1571,1162.8,1081.2,31.9,1.28,255.0,989.4,1071.0,16.5,1.60,1571,0.0,51.0,  
12,1.92,1550,1152.6,1060.8,31.9,2.24,230.0,989.4,1050.6,19.6,2.56,1550,0.0,51.0,  
,2.88,1550,1173.0,1050.6,32.3,3.20,255.0,989.4,1050.6,18.0,3.52,1530,0.0,51.0,  
,3.84,1510,1162.8,1040.4,31.9,4.16,240.0,989.4,1040.4,18.4,4.48,1510,0.0,51.0,  
,4.80,1510,1162.8,1040.4,31.9,5.14,230.0,989.4,1040.4,19.2,5.46,1489,0.0,51.0,  
,5.78,1469,1173.0,1040.4,31.9,6.10,260.0,989.4,1040.4,20.8,6.42,1469,0.0,51.0,  
13,6.74,1469,1173.0,1050.6,31.9,7.06,260.0,989.4,1050.6,20.8,7.38,1448,0.0,51.0,  
14,7.70,1448,1183.2,1050.6,31.9,8.02,380.0,989.4,1050.6,3.1,8.34,1448,0.0,51.0,  
,18.24,2040,2142.0,1948.2,45.0,18.56,960.0,989.4,2213.4,100.0,18.88,2203,0.0,51.0,  
,19.20,2305,2162.4,2244.0,48.6,19.52,920.0,989.4,2121.6,100.0,19.84,2468,0.0,51.0,  
,20.16,2570,2172.6,2172.6,51.8,20.48,980.0,989.4,2203.2,100.0,20.78,2734,0.0,51.0,  
,21.10,2815,2172.6,2172.6,52.6,21.42,965.0,989.4,2182.8,100.0,21.74,2978,0.0,51.0,  
,22.06,3060,2182.8,2203.2,55.0,22.38,970.0,989.4,2203.2,100.0,22.70,3223,0.0,51.0,  
,23.02,3305,2182.8,2203.2,55.8,23.34,980.0,989.4,2203.2,100.0,23.66,3468,0.0,51.0,  
,23.98,3550,2172.6,2193.0,57.4,24.30,975.0,989.4,2193.0,100.0,24.62,3692,0.0,51.0,  
,24.94,3774,2172.6,2193.0,58.2,25.26,970.0,989.4,2182.8,100.0,25.58,3917,0.0,51.0,  
,25.90,3978,2172.6,2172.6,59.0,26.22,950.0,989.4,2162.4,100.0,26.54,4121,0.0,51.0,  
,26.86,4182,2131.8,2142.0,59.4,27.18,920.0,989.4,2131.8,100.0,27.50,4304,0.0,51.0,  
,27.82,4345,2040.0,2050.2,59.8,28.14,860.0,989.4,1999.2,100.0,28.46,4468,0.0,51.0,  
,28.78,4488,1938.0,1927.8,55.8,29.10,800.0,989.4,1897.2,100.0,29.42,4570,0.0,51.0,  
,29.74,4570,1876.8,1866.6,53.8,30.06,795.0,989.4,1856.4,100.0,30.38,4610,0.0,51.0,  
