Sobota,01,Sierpieñ,2026,23:58:12:00009-VCID:5EB32B7FDA379C7640-4B18,Wersja VCDS: AKP 20.4.2,Wersja danych: 20201103 DS317.0
074 906 018 AJ,,2.5l R5 EDC G000SG  3908,

,Grupa A:,'014,,,,Grupa B:,'013,,,,Grupa C:,'012
,,Dawka paliwa, , , ,,Dawka paliwa,Dawka paliwa,Dawka paliwa,Dawka paliwa,,Bity binarnie,(bez jednostek),Napiêcie,Temperatura
,CZAS,,,,,CZAS,,,,,CZAS,,,,
Znacznik,ZAPISU, mg/suw,,,,ZAPISU, mg/suw, mg/suw, mg/suw, mg/suw,ZAPISU,,, V,*C
,0.32,-0.85,  ,  ,  ,0.64,0.05,0.61,-0.12,0.28,0.01,11111111,0.00,13.38,93.6
6,1.28,-0.85,  ,  ,  ,1.60,0.05,0.61,-0.12,0.28,0.96,11111111,0.00,13.38,93.6
12,2.24,-0.85,  ,  ,  ,2.56,0.05,0.61,-0.12,0.28,1.92,11111111,0.00,13.38,93.6
,3.20,-0.85,  ,  ,  ,3.52,0.05,0.61,-0.12,0.28,2.88,11111111,0.00,13.38,93.6
13,4.16,-0.85,  ,  ,  ,4.48,0.05,0.61,-0.12,0.28,3.84,11111111,0.00,13.38,93.6
,5.12,-0.85,  ,  ,  ,5.44,0.05,0.61,-0.12,0.28,4.80,11111111,0.00,13.38,93.6
,11.84,-0.82,  ,  ,  ,11.20,0.05,0.61,-0.12,0.28,11.52,11111111,0.00,13.38,92.7
,12.82,-0.82,  ,  ,  ,12.18,0.09,0.66,-0.09,0.31,12.50,11111111,0.00,13.38,92.7
,13.78,-0.82,  ,  ,  ,13.14,0.09,0.66,-0.09,0.31,13.46,11111111,0.00,13.38,92.7
,14.74,-0.82,  ,  ,  ,14.10,0.09,0.66,-0.09,0.31,14.42,11111111,0.00,13.38,92.7
,15.70,-0.82,  ,  ,  ,15.06,0.09,0.66,-0.09,0.31,15.38,11111111,0.00,13.38,92.7
,16.66,-0.82,  ,  ,  ,16.02,0.09,0.66,-0.09,0.31,16.34,11111111,0.00,13.38,92.7
,17.62,-0.82,  ,  ,  ,16.98,0.09,0.66,-0.09,0.31,17.30,11111111,0.00,13.38,92.7
,18.58,-0.82,  ,  ,  ,17.94,0.09,0.66,-0.09,0.31,18.26,11111111,0.00,13.38,92.7
,19.54,-0.82,  ,  ,  ,18.90,0.09,0.66,-0.09,0.31,19.22,11111111,0.00,13.38,92.7
,20.50,-0.82,  ,  ,  ,19.86,0.09,0.66,-0.09,0.31,20.18,11111111,0.00,13.38,92.7
,21.46,-0.82,  ,  ,  ,20.82,0.09,0.66,-0.09,0.31,21.14,11111111,0.00,13.38,92.7
