Sobota,01,Sierpieñ,2026,23:59:52:00009-VCID:5EB32B7FDA379C7640-4B18,Wersja VCDS: AKP 20.4.2,Wersja danych: 20201103 DS317.0
074 906 018 AJ,,2.5l R5 EDC G000SG  3908,

,Grupa A:,'023,,,,Grupa B:,'019,,,,Grupa C:,'010
,,Ciœnienie rzecz.,Ciœnienie rzecz.,Cykl pracy,Ciœnienie rzecz.,,Napiêcie,Napiêcie, , ,,Iloœæ powietrza/Obr.,Ciœnienie rzecz.,Ciœnienie rzecz.,Obci¹¿enie
,CZAS,,,,,CZAS,,,,,CZAS,,,,
Znacznik,ZAPISU, mbar, mbar, %, mbar,ZAPISU, V, V,,,ZAPISU, mg/suw, mbar, mbar, %
,0.32,1132.2,1152.6,30.7,989.4,0.64,0.760,4.540,  ,  ,0.01,490.0,989.4,1152.6,4.7
4,1.28,1295.4,1111.8,23.1,989.4,1.60,0.760,4.540,  ,  ,0.96,420.0,989.4,1091.4,25.9
6,2.24,1285.2,1224.0,27.5,989.4,2.56,0.760,4.540,  ,  ,1.92,520.0,989.4,1193.4,29.8
12,3.20,1234.2,1275.0,36.3,989.4,3.52,0.760,4.540,  ,  ,2.88,540.0,989.4,1264.8,30.6
,4.16,1142.4,1152.6,30.7,989.4,4.48,0.760,4.540,  ,  ,3.84,305.0,989.4,1203.6,11.4
13,5.12,1173.0,1071.0,31.1,989.4,5.44,0.760,4.540,  ,  ,4.80,245.0,989.4,1091.4,19.2
,6.08,1234.2,1122.0,25.9,989.4,6.40,0.760,4.540,  ,  ,5.76,425.0,989.4,1081.2,25.5
,11.86,2142.0,2162.4,52.2,989.4,12.18,0.760,4.540,  ,  ,12.50,885.0,989.4,2223.6,100.0
,12.84,2162.4,2101.2,48.6,989.4,13.16,0.760,4.540,  ,  ,13.48,950.0,989.4,2142.0,100.0
,13.80,2172.6,2182.8,51.8,989.4,14.12,0.760,4.540,  ,  ,14.44,965.0,989.4,2193.0,100.0
,14.76,2182.8,2193.0,52.6,989.4,15.08,0.760,4.540,  ,  ,15.40,995.0,989.4,2203.2,100.0
,15.72,2182.8,2203.2,55.4,989.4,16.04,0.760,4.540,  ,  ,16.36,985.0,989.4,2203.2,100.0
,16.68,2182.8,2203.2,57.0,989.4,17.00,0.760,4.540,  ,  ,17.32,980.0,989.4,2193.0,100.0
,17.64,2172.6,2193.0,57.8,989.4,17.96,0.760,4.540,  ,  ,18.28,970.0,989.4,2193.0,100.0
,18.60,2172.6,2182.8,58.2,989.4,18.92,0.760,4.540,  ,  ,19.24,950.0,989.4,2172.6,100.0
,19.56,2152.2,2162.4,59.0,989.4,19.88,0.760,4.540,  ,  ,20.20,935.0,989.4,2131.8,100.0
,20.52,2091.0,2111.4,61.0,989.4,20.86,0.760,4.540,  ,  ,21.18,870.0,989.4,2019.6,100.0
,21.50,1978.8,1968.6,57.4,989.4,21.82,0.760,4.540,  ,  ,22.14,815.0,989.4,1897.2,3.9
